lineitem_rows,supplier_rows,estimated,actual
10,10,29.530000,0.003806
1000000,10,1050023.916785,0.006431
2000000,10,2100028.903570,0.005838
3000000,10,3150033.890355,0.005697
4000000,10,4200038.877140,0.005921
5000000,10,5250043.863925,0.006086
6000000,10,6300048.850710,0.005889
7000000,10,7350053.837495,0.005639
8000000,10,8400058.824280,0.005796
9000000,10,9450063.811065,0.005771
10000000,10,10500068.797850,0.005664
11000000,10,11550073.784635,0.005645
12000000,10,12600078.771420,0.005754
10,1000,1108.630000,0.006430
1000000,1000,1051596.708502,0.357861
2000000,1000,2102095.387004,0.368291
3000000,1000,3152594.065506,0.353418
4000000,1000,4203092.744008,0.349349
5000000,1000,5253591.422510,0.344271
6000000,1000,6304090.101012,0.343312
7000000,1000,7354588.779514,0.348113
8000000,1000,8405087.458016,0.348981
9000000,1000,9455586.136518,0.349747
10000000,1000,10506084.815020,0.347959
11000000,1000,11556583.493522,0.349222
12000000,1000,12607082.172024,0.346095
10,2000,2198.630000,0.006641
1000000,2000,1053185.387004,0.592044
2000000,2000,2104182.744008,0.709176
3000000,2000,3155180.101012,0.713248
4000000,2000,4206177.458016,0.717638
5000000,2000,5257174.815020,0.694552
6000000,2000,6308172.172024,0.695888
7000000,2000,7359169.529028,0.693536
8000000,2000,8410166.886032,0.696920
9000000,2000,9461164.243035,0.728545
10000000,2000,10512161.600039,0.695813
11000000,2000,11563158.957043,0.694232
12000000,2000,12614156.314047,0.696031
10,3000,3288.630000,0.006987
1000000,3000,1054774.065506,0.585714
2000000,3000,2106270.101012,1.057190
3000000,3000,3157766.136518,1.068748
4000000,3000,4209262.172024,1.058989
5000000,3000,5260758.207530,1.048694
6000000,3000,6312254.243035,1.048794
7000000,3000,7363750.278541,1.067393
8000000,3000,8415246.314047,1.048399
9000000,3000,9466742.349553,1.049247
10000000,3000,10518238.385059,1.043001
11000000,3000,11569734.420565,1.048124
12000000,3000,12621230.456071,1.037962
10,4000,4378.630000,0.007370
1000000,4000,1056362.744008,0.575646
2000000,4000,2108357.458016,1.168315
3000000,4000,3160352.172024,1.450428
4000000,4000,4212346.886032,1.430971
5000000,4000,5264341.600039,1.482457
6000000,4000,6316336.314047,1.428430
7000000,4000,7368331.028055,1.414905
8000000,4000,8420325.742063,1.442082
9000000,4000,9472320.456071,1.432695
10000000,4000,10524315.170079,1.426001
11000000,4000,11576309.884087,1.428244
12000000,4000,12628304.598095,1.427556
10,5000,5468.630000,0.003567
1000000,5000,1057951.422510,0.594622
2000000,5000,2110444.815020,1.175322
3000000,5000,3162938.207530,1.812499
4000000,5000,4215431.600039,1.801634
5000000,5000,5267924.992549,1.809796
6000000,5000,6320418.385059,1.794572
7000000,5000,7372911.777569,1.840704
8000000,5000,8425405.170079,1.785859
9000000,5000,9477898.562589,1.777266
10000000,5000,10530391.955098,1.779596
11000000,5000,11582885.347608,1.778569
12000000,5000,12635378.740118,1.786059
10,6000,6558.630000,0.006327
1000000,6000,1059540.101012,0.599244
2000000,6000,2112532.172024,1.183138
3000000,6000,3165524.243035,1.807208
4000000,6000,4218516.314047,2.161016
5000000,6000,5271508.385059,2.144455
6000000,6000,6324500.456071,2.152747
7000000,6000,7377492.527083,2.151892
8000000,6000,8430484.598095,2.150061
9000000,6000,9483476.669106,2.165961
10000000,6000,10536468.740118,2.183265
11000000,6000,11589460.811130,2.162014
12000000,6000,12642452.882142,2.142501
10,7000,7648.630000,0.004163
1000000,7000,1061128.779514,0.587727
2000000,7000,2114619.529028,1.208202
3000000,7000,3168110.278541,1.809781
4000000,7000,4221601.028055,2.409570
5000000,7000,5275091.777569,2.556088
6000000,7000,6328582.527083,2.531446
7000000,7000,7382073.276597,2.536571
8000000,7000,8435564.026110,2.531997
9000000,7000,9489054.775624,2.559670
10000000,7000,10542545.525138,2.581251
11000000,7000,11596036.274652,2.534237
12000000,7000,12649527.024165,2.566188
10,8000,8738.630000,0.004680
1000000,8000,1062717.458016,0.587327
2000000,8000,2116706.886032,1.198249
3000000,8000,3170696.314047,1.825639
4000000,8000,4224685.742063,2.455271
5000000,8000,5278675.170079,2.977414
6000000,8000,6332664.598095,2.940780
7000000,8000,7386654.026110,2.910592
8000000,8000,8440643.454126,2.907493
9000000,8000,9494632.882142,2.915656
10000000,8000,10548622.310158,2.882350
11000000,8000,11602611.738173,2.894606
12000000,8000,12656601.166189,2.962744
10,9000,9828.630000,0.004759
1000000,9000,1064306.136518,0.618753
2000000,9000,2118794.243035,1.208965
3000000,9000,3173282.349553,1.786105
4000000,9000,4227770.456071,2.419236
5000000,9000,5282258.562589,3.034678
6000000,9000,6336746.669106,3.284500
7000000,9000,7391234.775624,3.277245
8000000,9000,8445722.882142,3.294880
9000000,9000,9500210.988660,3.232375
10000000,9000,10554699.095177,3.245753
11000000,9000,11609187.201695,3.294465
12000000,9000,12663675.308213,3.291908
10,10000,10918.630000,0.004897
1000000,10000,1065894.815020,0.603518
2000000,10000,2120881.600039,1.210479
3000000,10000,3175868.385059,1.805605
4000000,10000,4230855.170079,2.436298
5000000,10000,5285841.955098,3.025817
6000000,10000,6340828.740118,3.617593
7000000,10000,7395815.525138,3.647803
8000000,10000,8450802.310158,3.595432
9000000,10000,9505789.095177,3.589260
10000000,10000,10560775.880197,3.642606
11000000,10000,11615762.665217,3.656523
12000000,10000,12670749.450236,3.674766
10,11000,12008.630000,0.004856
1000000,11000,1067483.493522,0.602559
2000000,11000,2122968.957043,1.212686
3000000,11000,3178454.420565,1.830397
4000000,11000,4233939.884087,2.424751
5000000,11000,5289425.347608,3.028793
6000000,11000,6344910.811130,3.655282
7000000,11000,7400396.274652,4.003521
8000000,11000,8455881.738173,4.038612
9000000,11000,9511367.201695,4.108167
10000000,11000,10566852.665217,4.075739
11000000,11000,11622338.128738,4.005097
12000000,11000,12677823.592260,3.975355
10,12000,13098.630000,0.004883
1000000,12000,1069072.172024,0.587806
2000000,12000,2125056.314047,1.192245
3000000,12000,3181040.456071,1.775383
4000000,12000,4237024.598095,2.430726
5000000,12000,5293008.740118,3.024520
6000000,12000,6348992.882142,3.649697
7000000,12000,7404977.024165,4.280330
8000000,12000,8460961.166189,4.387758
9000000,12000,9516945.308213,4.435012
10000000,12000,10572929.450236,4.370401
11000000,12000,11628913.592260,4.335358
12000000,12000,12684897.734284,4.354250
10,13000,14188.630000,0.004801
1000000,13000,1070660.850526,0.583007
2000000,13000,2127143.671051,1.183126
3000000,13000,3183626.491577,1.789584
4000000,13000,4240109.312102,2.432458
5000000,13000,5296592.132628,3.059125
6000000,13000,6353074.953154,3.632407
7000000,13000,7409557.773679,4.231531
8000000,13000,8466040.594205,4.733011
9000000,13000,9522523.414730,4.752653
10000000,13000,10579006.235256,4.673748
11000000,13000,11635489.055782,4.748541
12000000,13000,12691971.876307,4.754900
10,14000,15278.630000,0.005019
1000000,14000,1072249.529028,0.592332
2000000,14000,2129231.028055,1.221768
3000000,14000,3186212.527083,1.797916
4000000,14000,4243194.026110,2.408206
5000000,14000,5300175.525138,3.049332
6000000,14000,6357157.024165,3.649674
7000000,14000,7414138.523193,4.241669
8000000,14000,8471120.022221,4.840566
9000000,14000,9528101.521248,5.124709
10000000,14000,10585083.020276,5.159288
11000000,14000,11642064.519303,5.080080
12000000,14000,12699046.018331,5.143669
10,15000,16368.630000,0.005462
1000000,15000,1073838.207530,0.605246
2000000,15000,2131318.385059,1.225734
3000000,15000,3188798.562589,1.786052
4000000,15000,4246278.740118,2.439597
5000000,15000,5303758.917648,3.004971
6000000,15000,6361239.095177,3.634920
7000000,15000,7418719.272707,4.365920
8000000,15000,8476199.450236,4.878452
9000000,15000,9533679.627766,5.496486
10000000,15000,10591159.805295,5.522539
11000000,15000,11648639.982825,5.512179
12000000,15000,12706120.160355,5.468712
10,16000,17458.630000,0.006121
1000000,16000,1075426.886032,0.609126
2000000,16000,2133405.742063,1.216694
3000000,16000,3191384.598095,1.802017
4000000,16000,4249363.454126,2.409950
5000000,16000,5307342.310158,3.029878
6000000,16000,6365321.166189,3.684986
7000000,16000,7423300.022221,4.270792
8000000,16000,8481278.878252,4.984693
9000000,16000,9539257.734284,5.500891
10000000,16000,10597236.590315,5.880840
11000000,16000,11655215.446347,5.863849
12000000,16000,12713194.302378,5.893369
10,17000,18548.630000,0.006420
1000000,17000,1077015.564533,0.608901
2000000,17000,2135493.099067,1.209490
3000000,17000,3193970.633600,1.811201
4000000,17000,4252448.168134,2.425002
5000000,17000,5310925.702667,3.020078
6000000,17000,6369403.237201,3.647157
7000000,17000,7427880.771734,4.302938
8000000,17000,8486358.306268,4.916599
9000000,17000,9544835.840801,5.473640
10000000,17000,10603313.375335,6.050727
11000000,17000,11661790.909868,6.218971
12000000,17000,12720268.444402,6.262910
10,18000,19638.630000,0.006747
1000000,18000,1078604.243035,0.631874
2000000,18000,2137580.456071,1.229240
3000000,18000,3196556.669106,1.832322
4000000,18000,4255532.882142,2.417640
5000000,18000,5314509.095177,3.028015
6000000,18000,6373485.308213,3.652809
7000000,18000,7432461.521248,4.239974
8000000,18000,8491437.734284,4.851297
9000000,18000,9550413.947319,5.480013
10000000,18000,10609390.160355,6.247352
11000000,18000,11668366.373390,6.627498
12000000,18000,12727342.586425,6.553806
10,19000,20728.630000,0.006574
1000000,19000,1080192.921537,0.604525
2000000,19000,2139667.813075,1.206845
3000000,19000,3199142.704612,1.824162
4000000,19000,4258617.596150,2.402845
5000000,19000,5318092.487687,3.061442
6000000,19000,6377567.379225,3.687806
7000000,19000,7437042.270762,4.268633
8000000,19000,8496517.162299,4.893125
9000000,19000,9555992.053837,5.483788
10000000,19000,10615466.945374,6.110049
11000000,19000,11674941.836912,6.751712
12000000,19000,12734416.728449,7.080255
10,20000,21818.630000,0.006792
1000000,20000,1081781.600039,0.612154
2000000,20000,2141755.170079,1.238999
3000000,20000,3201728.740118,1.835297
4000000,20000,4261702.310158,2.399989
5000000,20000,5321675.880197,3.019549
6000000,20000,6381649.450236,3.633679
7000000,20000,7441623.020276,4.286694
8000000,20000,8501596.590315,4.823475
9000000,20000,9561570.160355,5.493688
10000000,20000,10621543.730394,6.131865
11000000,20000,11681517.300433,6.734410
12000000,20000,12741490.870473,7.268826
